round,device_id,train_loss,num_train_samples
1,0,0.0062440894544124,1642
1,1,0.0045184516347944,1766
1,2,0.0050930227153003,1874
1,3,0.0065217246301472,1556
1,4,0.0055373106151819,1655
1,5,0.0068966280668973,1473
1,6,0.0071585341356694,1654
1,7,0.0054864413104951,1942
1,8,0.0060230400413274,1545
1,9,0.0064655044116079,1816
1,10,0.0058127865195274,1860
1,11,0.0052470443770289,1785
1,12,0.0065637645311653,1532
1,13,0.0054998071864247,1772
1,14,0.0060179443098604,1508
1,15,0.0057638762518763,1690
1,16,0.0047426591627299,1830
1,17,0.0051972344517707,1776
1,18,0.0061390283517539,1739
1,19,0.0058793085627257,1809
1,20,0.0061326711438596,1404
1,21,0.006200055591762,1479
1,22,0.0068144397810101,1595
1,23,0.0052081933245062,1604
1,24,0.0056128054857254,1828
1,25,0.0070117963477969,1629
1,26,0.0055542108602821,1664
1,27,0.0069832908920943,1318
1,28,0.0059332312084734,1799
1,29,0.0071601443924009,1456
2,18,0.0135172242298722,1739
2,3,0.0132729401811957,1556
2,2,0.0121715916320681,1874
2,21,0.0137710850685834,1479
2,23,0.0130551382899284,1604
2,24,0.0121734542772173,1828
2,17,0.0122646242380142,1776
2,20,0.0138465333729982,1404
2,19,0.0128867449238896,1809
2,9,0.0113617740571498,1816
2,6,0.0131110046058893,1654
2,13,0.0130338501185178,1772
2,7,0.0125257931649684,1942
2,5,0.0135193979367613,1473
2,29,0.0128011601045727,1456
2,12,0.013463707640767,1532
2,14,0.0131022632122039,1508
2,8,0.0136685511097311,1545
2,10,0.0096016330644488,1860
2,15,0.0125221190974116,1690
2,16,0.0127848116680979,1830
2,27,0.0145765542984008,1318
2,25,0.0129551766440272,1629
2,1,0.0119712045416235,1766
2,26,0.0137369027361273,1664
2,11,0.0125321028754115,1785
2,0,0.0129750464111566,1642
2,4,0.0128825735300779,1655
2,22,0.0130569245666265,1595
2,28,0.0128872506320476,1799
3,1,0.0088466377928853,1766
3,20,0.0109920939430594,1404
3,25,0.010446012020111,1629
3,2,0.0093201743438839,1874
3,5,0.0104096075519919,1473
