round,device_id,train_loss,num_train_samples
1,0,0.005343474447727203,1723
1,1,0.007340289186686277,1081
1,2,0.007296688389033079,1310
1,3,0.006389463786035776,1517
1,4,0.008744211867451668,942
1,5,0.00687609426677227,1433
1,6,0.007134546060115099,1632
1,7,0.0063109928742051125,1366
1,8,0.006277965381741524,1922
1,9,0.008903227746486664,1377
1,10,0.005356638226658106,1764
1,11,0.006769943051040173,1038
1,12,0.007268677465617657,1284
1,13,0.009071560576558113,878
1,14,0.009442444890737534,1240
1,15,0.005573041271418333,2055
1,16,0.004265727009624243,1719
1,17,0.0051044500432908535,2017
1,18,0.003882163669914007,2010
1,19,0.0039273654110729694,2341
1,20,0.006711120717227459,1040
1,21,0.004470395855605602,2179
1,22,0.00830973032861948,1359
1,23,0.00534120062366128,1936
1,24,0.004517208319157362,2085
1,25,0.0035108630545437336,3076
1,26,0.005817670375108719,1623
1,27,0.006896437611430883,1178
1,28,0.0040746829472482204,2599
1,29,0.0050649382174015045,2276
2,18,0.010076727718114853,2010
2,3,0.011964975856244564,1517
2,2,0.013870361261069775,1310
2,21,0.010923201218247414,2179
2,23,0.01082251500338316,1936
2,24,0.010790374130010605,2085
2,17,0.010759766213595867,2017
2,20,0.015225823037326336,1040
2,19,0.00866474024951458,2341
2,9,0.012615656480193138,1377
2,6,0.012967479415237904,1632
2,13,0.014330169185996056,878
2,7,0.013607368804514408,1366
2,5,0.014103017747402191,1433
2,29,0.009891635738313198,2276
2,12,0.014156858436763287,1284
2,14,0.013805581256747246,1240
2,8,0.01296130008995533,1922
2,10,0.007827427238225937,1764
2,15,0.011089731007814407,2055
2,16,0.011569839902222157,1719
2,27,0.014540214091539383,1178
2,25,0.0063996827229857445,3076
2,1,0.014199638739228249,1081
2,26,0.012639880180358887,1623
2,11,0.01484624296426773,1038
2,0,0.011800307780504227,1723
2,4,0.015547615475952625,942
2,22,0.013697890564799309,1359
2,28,0.008483349345624447,2599
3,1,0.011246366426348686,1081
3,20,0.011886423453688622,1040
3,25,0.005452267825603485,3076
3,2,0.011233917437493801,1310
3,5,0.01154729351401329,1433
3,26,0.009878577664494514,1623
3,17,0.009802591986954212,2017
3,21,0.008076303638517857,2179
3,13,0.011294686235487461,878
3,3,0.010160555131733418,1517
3,11,0.011691804975271225,1038
3,27,0.011174453422427177,1178
3,0,0.008324566297233105,1723
3,28,0.0076813907362520695,2599
3,22,0.011829323135316372,1359
3,9,0.012688403017818928,1377
3,19,0.006356725934892893,2341
3,4,0.013767021708190441,942
