round,device_id,train_loss,test_accuracy,f1_score,num_train_samples,wall_clock_time
1,1,0.003071041312068701,0.7826,0.8780433075283294,1081,17.94345498085022
1,3,0.001979468623176217,0.7983,0.8878385141522549,1517,21.909452438354492
1,5,0.0025590790901333094,0.7699,0.8699926549522572,1433,25.9279682636261
1,6,0.0016444674693048,0.7862,0.8803045571604524,1632,29.978195667266846
1,7,0.0020079556852579117,0.7133,0.8326621140489114,1366,33.88947939872742
1,9,0.0027979209553450346,0.7639,0.8661488746527581,1377,37.91046857833862
1,10,0.0018285757396370173,0.7209,0.8378174211168575,1764,42.08344316482544
1,11,0.0034502719063311815,0.6139,0.7607658467067352,1038,45.87506723403931
1,12,0.002858653897419572,0.7094,0.82999882999883,1284,49.79893255233765
1,14,0.002929205074906349,0.7383,0.8494506126675487,1240,53.61236357688904
1,15,0.0018275594338774681,0.7945,0.8854834215658958,2055,57.879878997802734
1,17,0.0015036663971841335,0.7992,0.8883948421520677,2017,62.10932803153992
1,18,0.0012389763724058867,0.7968,0.8869100623330365,2010,66.32643914222717
1,20,0.0027838710229843855,0.7263,0.8414528181660198,1040,70.14795732498169
1,22,0.002834954299032688,0.7137,0.8329345859835444,1359,74.07407593727112
1,25,0.001047787838615477,0.765,0.8668555240793201,3076,78.93441700935364
1,26,0.0018695419421419501,0.7591,0.8630549712921379,1623,83.02369427680969
1,27,0.0026858747005462646,0.6853,0.8132676674776005,1178,86.93133044242859
1,28,0.001169799012131989,0.8018,0.8899988899988899,2599,91.69496154785156
1,29,0.0011837207712233067,0.7456,0.854262144821265,2276,96.11182570457458
1,16,0.00188873999286443,0.7609,0.8642171616786871,1719,100.33392930030823
1,21,0.001286464394070208,0.7975,0.8873435326842838,2179,104.91738152503967
1,4,0.004718777257949114,0.6815,0.8105857865001487,942,108.70197534561157
1,23,0.001626364653930068,0.7258,0.8411171630548152,1936,113.0973253250122
1,24,0.0011704325443133712,0.7952,0.8859180035650625,2085,117.51832890510559
1,2,0.0020446660928428173,0.7277,0.842391618915321,1310,121.60819244384766
1,13,0.0037132869474589825,0.7143,0.8333430554745377,878,125.26204323768616
1,8,0.001712919445708394,0.7945,0.8854834215658958,1922,129.48342418670654
1,19,0.001228348002769053,0.7302,0.8440642700265865,2341,133.9446189403534
1,0,0.0018771300092339516,0.7832,0.8784208165096457,1723,138.07377576828003
2,0,0.0010106965200975537,0.8004,0.8891357476116418,1723,242.4562029838562
2,1,0.0009062183671630919,0.7961,0.8864762541061189,1081,246.43882060050964
2,2,0.000814565340988338,0.7353,0.8474615340286982,1310,250.55547547340393
2,3,0.0010123621905222535,0.792,0.8839285714285714,1517,254.60638642311096
2,4,0.002188160317018628,0.6505,0.7882459860648288,942,258.45229625701904
2,7,0.000993675785139203,0.7224,0.838829540176498,1366,262.51136660575867
2,10,0.0012834882363677025,0.7691,0.8694816573398904,1764,266.7186689376831
2,11,0.0015480916481465101,0.7295,0.843596415148887,1038,270.6397171020508
2,12,0.001409282791428268,0.7705,0.8703756001129624,1284,274.73829102516174
2,14,0.0016331966035068035,0.6703,0.8026103095252349,1240,278.7750699520111
2,15,0.0013000213075429201,0.7997,0.8887036728343612,2055,283.20021414756775
2,17,0.0008333256118930876,0.8056,0.8923349579087283,2017,287.507093667984
2,18,0.0007316911360248923,0.8072,0.8933156263833555,2010,291.8525803089142
2,19,0.0007301382138393819,0.7889,0.8819945217731567,2341,296.5302565097809
2,20,0.0008572941296733916,0.7775,0.8748241912798875,1040,300.4209632873535
2,22,0.0014437360223382711,0.7362,0.8480589793802558,1359,304.4004588127136
2,23,0.001127641648054123,0.7226,0.8389643562057356,1936,308.7250120639801
2,25,0.0007563487743027508,0.7852,0.8796773470759578,3076,313.71877884864807
2,26,0.0011930736945942044,0.7844,0.8791750728536203,1623,317.89466190338135
2,29,0.0008631236851215363,0.7914,0.8835547616389416,2276,322.38437366485596
2,27,0.001311706262640655,0.6818,0.8107979545724818,1178,326.33667039871216
2,8,0.0008732756250537932,0.8064,0.8928255093002657,1922,330.67292642593384
2,5,0.0013863826170563698,0.7615,0.8646040306556912,1433,334.757691860199
2,21,0.0008066613227128983,0.8081,0.893866489685305,2179,339.2925753593445
2,6,0.0006692851893603802,0.7927,0.8843643665978691,1632,343.52101159095764
2,28,0.0008275729487650096,0.8076,0.8935605222394335,2599,348.1580083370209
2,24,0.0006063120672479272,0.8048,0.8918439716312057,2085,352.5932586193085
2,9,0.0013443923089653254,0.7674,0.8683942514427974,1377,356.5555155277252
2,13,0.0009820404229685664,0.7694,0.8696733355939866,878,360.30735635757446
2,16,0.0010353944962844253,0.7906,0.8830559588964593,1719,364.6266324520111
3,1,0.0010236266534775496,0.7975,0.8873435326842838,1081,469.0482590198517
3,3,0.0010873316787183285,0.7982,0.8877766655544433,1517,473.0266737937927
3,5,0.0012802380369976163,0.7642,0.8663416846162566,1433,477.01132822036743
3,6,0.0007160034729167819,0.7891,0.8821195014252977,1632,481.1766812801361
3,7,0.0008316389285027981,0.722,0.8385598141695703,1366,485.0632367134094
3,9,0.0013401532778516412,0.7616,0.8646684831970936,1377,489.0730199813843
3,10,0.0009568889508955181,0.769,0.8694177501413227,1764,493.3644828796387
3,11,0.0013611158356070518,0.6958,0.8206156386366317,1038,497.3436117172241
3,15,0.001216086675412953,0.799,0.8882712618121179,2055,501.8179786205292
3,16,0.00111264712177217,0.7898,0.8825567102469549,1719,505.99265217781067
3,17,0.0009926880011335015,0.8075,0.8934993084370677,2017,510.33231592178345
3,19,0.0007432129932567477,0.7784,0.8753936122357174,2341,514.865296125412
3,20,0.0007507711416110396,0.767,0.8681380871533674,1040,518.7774958610535
3,21,0.0008215578272938728,0.8083,0.8939888292871758,2179,523.3044097423553
3,22,0.0011698416201397777,0.6907,0.8170580233039568,1359,527.3034937381744
3,24,0.0006881039589643478,0.8006,0.8892591358436077,2085,531.6243607997894
3,25,0.0007226490997709334,0.7913,0.8834924356612516,3076,536.4735429286957
3,26,0.0010776793351396918,0.7786,0.8755200719667153,1623,540.5157413482666
3,27,0.001472391071729362,0.6802,0.8096655160099988,1178,544.3471031188965
3,28,0.0008336848113685846,0.8087,0.894233427323492,2599,548.9377658367157
3,8,0.0011368435807526112,0.8027,0.890553059299939,1922,553.1918976306915
3,18,0.0008324303198605776,0.8039,0.8912910915239203,2010,557.6032152175903
3,29,0.000801952148322016,0.8036,0.8911066755378133,2276,562.0454096794128
3,23,0.001089999102987349,0.7639,0.8661488746527581,1936,566.5284595489502
3,13,0.0007970205624587834,0.7853,0.8797400997031312,878,570.2986161708832
3,14,0.0016457780729979277,0.7454,0.8541308582559871,1240,574.3184013366699
3,12,0.00133959308732301,0.7786,0.8755200719667153,1284,578.360458612442
3,2,0.0009126808145083487,0.7253,0.8407813133947719,1310,582.3235340118408
3,4,0.0024601214099675417,0.6636,0.797787929790815,942,586.1464807987213
3,0,0.0009599515469744802,0.7974,0.8872816290196951,1723,590.3925297260284
4,0,0.0010063191875815392,0.799,0.8882712618121179,1723,693.5817787647247
4,1,0.0007402704795822501,0.7986,0.8880240186811965,1081,697.3726043701172
4,2,0.0007198496023193002,0.7308,0.8444649872891149,1310,701.2633514404297
4,4,0.002025794703513384,0.6918,0.8178271663317177,942,704.9918098449707
4,5,0.0013549525756388903,0.7673,0.8683302212414417,1433,709.0385437011719
4,6,0.0006288232980296016,0.7995,0.8885801611558766,1632,713.1682143211365
4,8,0.000827943324111402,0.8051,0.8920281424851809,1922,717.4641754627228
4,10,0.0011687199585139751,0.7618,0.8647973663298899,1764,721.6469225883484
4,12,0.0012075999984517694,0.7776,0.8748874887488748,1284,725.5916986465454
4,13,0.0007291255751624703,0.7847,0.8793634784557628,878,729.3266780376434
4,14,0.0018862622091546655,0.649,0.7871437234687689,1240,733.2282433509827
4,16,0.000938107434194535,0.7898,0.8825567102469549,1719,737.4881436824799
4,17,0.0008837594650685787,0.8049,0.8919053687184886,2017,741.7069919109344
4,18,0.0007722412119619548,0.8074,0.8934380878610159,2010,745.9411494731903
4,19,0.0007290799403563142,0.7797,0.8762150924313086,2341,750.3275375366211
4,21,0.0007140657398849726,0.8026,0.8904915122600687,2179,754.6553907394409
4,23,0.0011054535862058401,0.7171,0.8352454720167725,1936,758.8456952571869
4,26,0.000962572346907109,0.7821,0.8777285225295999,1623,762.8260812759399
4,27,0.001040634117089212,0.6994,0.8231140402494999,1178,766.6316645145416
4,28,0.0007178074447438121,0.8098,0.8949055144214829,2599,771.186422586441
4,29,0.0008981937426142395,0.7955,0.886104149262044,2276,775.5015978813171
4,25,0.0006201233481988311,0.7822,0.8777914936595219,3076,780.3252635002136
4,11,0.0015503710601478815,0.6505,0.7882459860648288,1038,784.0600874423981
4,7,0.00088756118202582,0.7235,0.8395706411372208,1366,787.952695608139
4,24,0.0005645667552016675,0.8002,0.8890123319631152,2085,792.2080161571503
4,9,0.0013147266581654549,0.77,0.8700564971751412,1377,796.074597120285
4,22,0.0012976883444935083,0.6975,0.8217967599410898,1359,799.9419226646423
4,3,0.000960682868026197,0.802,0.8901220865704773,1517,803.926943063736
4,20,0.0008131405338644981,0.7413,0.8514328375351748,1040,807.6793050765991
4,15,0.0010917786275967956,0.8021,0.8901836746018534,2055,812.084780216217
5,0,0.0011367819970473647,0.7953,0.8859800590430568,1723,914.8792583942413
5,1,0.0007794910343363881,0.7956,0.8861661840053464,1081,918.6563613414764
5,3,0.0010118673089891672,0.8028,0.8906145995118704,1517,922.5752308368683
