round,device_id,train_loss,test_accuracy,f1_score,num_train_samples,wall_clock_time
1,0,0.009416845627129078,0.5871,0.7398399596748787,545,28.502741813659668
1,2,0.007748018950223923,0.6446,0.7838988203818557,529,32.076064109802246
1,12,0.006232274696230888,0.6168,0.7629886194952994,652,35.73162770271301
1,14,0.00850098580121994,0.63,0.7730061349693252,611,39.39259171485901
1,18,0.018416276201605797,0.3897,0.560840469166007,290,42.91560959815979
1,19,0.009636212140321732,0.501,0.6675549633577615,491,46.54646110534668
1,27,0.006060266401618719,0.6516,0.7890530394768709,616,50.184696435928345
1,37,0.013764281757175922,0.5235,0.6872333442730555,403,53.73410153388977
1,39,0.011396240442991257,0.484,0.6522911051212937,388,57.30255389213562
1,44,0.00980010163038969,0.5923,0.7439552848081392,481,60.839820861816406
1,47,0.009339422918856144,0.531,0.6936642717178314,445,64.50632357597351
1,49,0.007960624992847443,0.6903,0.8167780867301662,620,68.08407926559448
1,50,0.004073713440448046,0.7465,0.8548525622673919,822,71.83691954612732
1,52,0.004968579392880201,0.6646,0.7985101525892105,749,75.59769344329834
1,59,0.010441017337143421,0.5335,0.6957939354417997,503,79.27925539016724
1,4,0.019624965265393257,0.3486,0.5169805724454991,266,82.85488986968994
1,20,0.0077838837169110775,0.6737,0.8050427197227699,628,86.4966447353363
1,40,0.008476946502923965,0.5656,0.7225344915687277,498,90.10425209999084
1,43,0.008952241390943527,0.5269,0.6901565262951078,463,93.68217134475708
1,56,0.009180476889014244,0.6663,0.7997359419072195,525,97.51806783676147
1,22,0.008209059946238995,0.4884,0.6562751948400968,492,101.07499313354492
1,16,0.006821263115853071,0.6521,0.7894195266630349,588,104.6832184791565
1,53,0.003586985170841217,0.7049,0.8269106692474633,908,108.63596844673157
1,5,0.01179523579776287,0.5771,0.7318495973622471,392,112.21079850196838
1,54,0.010111795738339424,0.4035,0.5749910936943357,424,115.83232235908508
1,17,0.005415355786681175,0.6909,0.8171979419244189,671,119.62689137458801
1,24,0.008218584582209587,0.6215,0.7665741597286463,544,123.25782322883606
1,1,0.008665879257023335,0.6934,0.8189441360576355,518,126.86466002464294
1,45,0.0064395819790661335,0.6159,0.7622996472553996,547,130.57762145996094
1,25,0.005961251445114613,0.6588,0.7943091391367254,796,134.53750586509705
1,42,0.006917922757565975,0.6907,0.8170580233039568,568,138.17260909080505
1,35,0.005723835900425911,0.7257,0.841050008692125,705,141.9437439441681
1,3,0.01291907113045454,0.3612,0.5307081986482516,363,145.4937345981598
1,48,0.006802209187299013,0.5546,0.7134954329087868,599,149.17438578605652
1,21,0.013948091305792332,0.4081,0.5796463319366522,349,152.6863124370575
1,51,0.012483177706599236,0.4027,0.5741783702858773,339,156.2111361026764
1,30,0.012924603186547756,0.5702,0.7262769074003312,398,159.81376671791077
1,15,0.0074698966927826405,0.647,0.7856709168184578,691,163.72503972053528
1,32,0.009849335998296738,0.5303,0.6930667189439979,426,167.28609943389893
1,58,0.006946144159883261,0.6272,0.7708947885939036,593,170.95185160636902
1,8,0.013105057179927826,0.489,0.6568166554734721,400,174.56186747550964
1,41,0.006096027325838804,0.5719,0.7276544309434443,604,178.17271065711975
1,10,0.009334095753729343,0.5206,0.6847297119558069,507,181.86281752586365
1,26,0.008511983789503574,0.6177,0.7636768251220869,560,185.54658603668213
1,46,0.004212301690131426,0.6946,0.8197804791691256,847,189.26580381393433
1,6,0.012484350241720676,0.3822,0.5530313992186369,372,192.84615540504456
1,7,0.014360008761286736,0.4211,0.5926395046091055,339,196.332670211792
1,11,0.008235220797359943,0.5556,0.7143224479300591,454,199.85042548179626
1,28,0.012623642571270466,0.4015,0.5729575454869783,357,203.36503911018372
1,55,0.008163298480212688,0.6276,0.7711968542639469,577,206.98155045509338
1,34,0.004348190035670996,0.7191,0.8366005467977429,727,210.7106819152832
1,36,0.007543014828115702,0.5602,0.7181130624278939,477,214.3490025997162
1,9,0.010597641579806805,0.4256,0.5970819304152637,342,217.9247145652771
1,13,0.007156231440603733,0.6824,0.8112220637184975,575,221.6524360179901
1,33,0.014873143285512924,0.3708,0.5409979573971404,339,225.18429017066956
1,29,0.014285181649029255,0.4194,0.5909539241933212,316,228.81455755233765
1,31,0.004999022930860519,0.5673,0.7239201173993492,602,232.46338725090027
1,23,0.006816115230321884,0.5314,0.6940054851769621,536,236.11367845535278
1,38,0.011324021965265274,0.5567,0.7152309372390313,420,239.7119870185852
1,57,0.009259901940822601,0.5702,0.7262769074003312,436,243.3796513080597
2,3,0.003476883750408888,0.7274,0.8421905754312841,363,452.5732924938202
2,4,0.0047788540832698345,0.7112,0.831229546517064,266,456.0345253944397
2,6,0.0029591084457933903,0.7009,0.8241519195719913,372,459.5586504936218
2,8,0.003546323161572218,0.6768,0.8072519083969465,400,463.10547614097595
2,9,0.002121213125064969,0.7205,0.8375472246439989,342,466.6038670539856
2,12,0.0025018672458827496,0.6774,0.807678550137117,652,470.3773503303528
2,13,0.002617208519950509,0.7658,0.8673688979499378,575,473.9522156715393
2,16,0.0017756418092176318,0.7764,0.8741274487727989,588,477.65115094184875
2,17,0.0019313972443342209,0.7694,0.8696733355939866,671,481.30597734451294
2,18,0.004869178868830204,0.7142,0.8332749970831874,290,484.6911053657532
2,22,0.0021441883873194456,0.7162,0.834634657965272,492,488.14318680763245
2,32,0.0037744459696114063,0.6541,0.7908832597787316,426,491.55597448349
2,37,0.004045566078275442,0.7055,0.8273233655819408,403,494.996150970459
2,38,0.00253554480150342,0.7632,0.8656987295825772,420,498.44896960258484
2,41,0.001773271942511201,0.6944,0.8196411709159586,604,501.96822714805603
2,43,0.002218502340838313,0.7642,0.8663416846162566,463,505.4080400466919
2,45,0.0022643636912107468,0.69,0.8165680473372781,547,508.9011812210083
2,51,0.003797663375735283,0.6116,0.7589972697939935,339,512.2798631191254
2,58,0.0021101664751768112,0.7405,0.8509049123814997,593,515.7832632064819
2,59,0.0023493694607168436,0.7498,0.8570122299691394,503,519.2132923603058
2,42,0.0017819843487814069,0.7588,0.8628610416192859,568,522.7468457221985
2,28,0.003944536671042442,0.7317,0.8450655425304614,357,526.1260404586792
2,57,0.002202459843829274,0.7724,0.8715865493116678,436,529.5794823169708
2,10,0.0037746650632470846,0.7151,0.8338872368958078,507,533.0342378616333
2,46,0.0019558060448616743,0.7425,0.8522238163558106,847,536.699018239975
2,5,0.002840177621692419,0.7482,0.8559661365976433,392,540.2379212379456
2,52,0.0018163211643695831,0.7496,0.8568815729309557,749,543.8024718761444
2,47,0.0028163883835077286,0.6876,0.8148850438492534,445,547.3144733905792
2,1,0.0022741295397281647,0.7407,0.851036939162406,518,550.8218376636505
2,11,0.0031207120046019554,0.6539,0.7907370457706028,454,554.2493658065796
2,2,0.0023828500416129827,0.7526,0.8588382973867397,529,557.7899172306061
2,19,0.002326840767636895,0.6896,0.8162878787878788,491,561.280651807785
2,20,0.0019471633713692427,0.7604,0.8638945694160418,628,564.7778520584106
2,31,0.0017881583189591765,0.6632,0.7974987974987975,602,568.3588407039642
2,7,0.0032789791002869606,0.772,0.871331828442438,339,571.7577941417694
2,34,0.0018390067853033543,0.7195,0.8368711834835708,727,575.3727991580963
2,33,0.0034057225566357374,0.7366,0.8483243118737763,339,578.7947435379028
2,30,0.002802144270390272,0.7609,0.8642171616786871,398,582.2959594726562
2,35,0.0017852755263447762,0.7622,0.8650550448303257,705,585.9278507232666
2,21,0.0032624590676277876,0.7375,0.8489208633093526,349,589.3177471160889
2,24,0.0023263213224709034,0.6761,0.8067537736411909,544,592.8926427364349
2,48,0.00260695512406528,0.671,0.8031119090365051,599,596.3954744338989
2,23,0.001979527063667774,0.735,0.8472622478386168,536,599.9727294445038
2,53,0.00159512332174927,0.7429,0.8524872339204773,908,603.8287379741669
2,54,0.004943951964378357,0.5545,0.7134126728851721,424,607.3117263317108
2,27,0.0017691748216748238,0.7507,0.8575998172159707,616,610.8917169570923
2,0,0.003017167095094919,0.639,0.7797437461866992,545,614.4643330574036
2,36,0.001725018140859902,0.7428,0.8524213908652744,477,617.9478018283844
2,14,0.002615801990032196,0.6757,0.8064689383541206,611,621.4616067409515
2,40,0.00229851296171546,0.74,0.8505747126436781,498,624.9317123889923
2,44,0.002856950042769313,0.7488,0.8563586459286368,481,628.4717757701874
2,15,0.002675654599443078,0.7126,0.8321849818988671,691,632.2607660293579
2,55,0.00284297252073884,0.7305,0.8442646633920832,577,635.8468890190125
2,29,0.0032280024606734514,0.7272,0.8420565076424271,316,639.2903032302856
2,56,0.0024089014623314142,0.7348,0.8471293520866959,525,642.8445513248444
2,39,0.0032527553848922253,0.6793,0.8090275710117311,388,646.3316712379456
2,25,0.002452533459290862,0.6918,0.8178271663317177,796,650.1015045642853
2,49,0.002097348216921091,0.766,0.8674971687429218,620,653.6594996452332
2,50,0.0014803746016696095,0.7455,0.8541965052993412,822,657.3606479167938
2,26,0.0023370333947241306,0.7302,0.8440642700265865,560,660.9085702896118
3,4,0.0034235918428748846,0.76,0.8636363636363636,266,866.2144289016724
3,6,0.0023691917303949594,0.7722,0.8714592032501975,372,869.7308623790741
3,8,0.002380432328209281,0.7023,0.8251189567056335,400,873.3307557106018
3,9,0.0012112120166420937,0.7774,0.8747608866884212,342,876.7789013385773
3,14,0.0017266763607040048,0.6836,0.8120693751484913,611,880.4152300357819
3,16,0.0011602359591051936,0.767,0.8681380871533674,588,883.9983761310577
3,18,0.002920678583905101,0.7774,0.8747608866884212,290,887.4394156932831
3,21,0.002134353155270219,0.757,0.8616960728514513,349,890.8896484375
3,28,0.002364159794524312,0.7714,0.8709495314440556,357,894.3304629325867
3,31,0.0012305504642426968,0.6911,0.817337827449589,602,897.9098191261292
3,32,0.0030132499523460865,0.6838,0.812210476303599,426,901.383044719696
3,34,0.0012564557837322354,0.7171,0.8352454720167725,727,904.9614593982697
3,35,0.0012811291962862015,0.7735,0.8722864392444319,705,908.580778837204
3,36,0.0012124504428356886,0.7794,0.8760256266157133,477,912.1634526252747
3,37,0.0026583082508295774,0.7188,0.8363974866185712,403,915.7307951450348
3,41,0.0011175967520102859,0.6991,0.822906244482373,604,919.3054313659668
3,43,0.0012219055788591504,0.78,0.8764044943820225,463,922.8603312969208
3,47,0.001635087770409882,0.7123,0.8319803772703382,445,926.5529451370239
3,58,0.0012572017731145024,0.7175,0.8355167394468704,593,930.2666606903076
3,40,0.001477996469475329,0.7595,0.8633134413185564,498,934.0118515491486
3,3,0.0021700100041925907,0.7836,0.8786723480601032,363,937.5928370952606
3,24,0.0015208079712465405,0.7017,0.8247047070576482,544,941.2549698352814
3,53,0.0010386593639850616,0.7461,0.8545902296546589,908,945.0761845111847
3,26,0.0014336800668388605,0.7322,0.8453989146749797,560,949.5677654743195
3,15,0.0017167849000543356,0.7102,0.8305461349549761,691,953.3361639976501
3,57,0.0014449344016611576,0.7905,0.8829935772130689,436,956.8403332233429
3,19,0.0016581254312768579,0.7357,0.8477271417871752,491,960.3424785137177
3,23,0.001429758733138442,0.7464,0.8547869903802107,536,963.9196317195892
3,30,0.0013055376475676894,0.7728,0.871841155234657,398,967.4201021194458
3,50,0.0010125664994120598,0.7394,0.8501782223755318,822,971.0879862308502
3,45,0.0017471608007326722,0.718,0.8358556461001164,547,974.6309864521027
3,59,0.0013587705325335264,0.7669,0.8680740279585715,503,978.235169172287
3,0,0.0021989422384649515,0.6431,0.7827886312458159,545,981.921403169632
3,55,0.0016312209190800786,0.7429,0.8524872339204773,577,985.5485846996307
3,13,0.0013416435103863478,0.773,0.8719684151156232,575,989.2762453556061
3,27,0.0011884995037689805,0.7519,0.8583823277584337,616,993.0176305770874
3,52,0.001711711985990405,0.7347,0.8470628927192021,749,996.8323435783386
3,33,0.0016206727595999837,0.7753,0.873429842843463,339,1000.3693037033081
3,29,0.0021991038229316473,0.7881,0.8814943235836922,316,1003.8625819683075
3,39,0.0023663111496716738,0.7001,0.823598611846362,388,1007.3420865535736
3,1,0.0012453472008928657,0.7573,0.8618904000455244,518,1010.9029088020325
3,54,0.003555774688720703,0.6401,0.780562160843851,424,1014.4955661296844
3,12,0.0019134648609906435,0.6542,0.7909563535243623,652,1018.1180005073547
3,25,0.0015904403990134597,0.6855,0.8134084841293385,796,1021.9685862064362
3,5,0.0013714857632294297,0.7694,0.8696733355939866,392,1025.7481229305267
3,17,0.0013081628130748868,0.7732,0.8720956462891947,671,1029.4799315929413
3,2,0.001476099481806159,0.7571,0.8617608559558364,529,1033.0348885059357
3,22,0.0012269391445443034,0.7497,0.8569469051837458,492,1036.4944956302643
3,38,0.0014284199569374323,0.7747,0.8730489660224263,420,1040.0570886135101
3,51,0.00314982864074409,0.7507,0.8575998172159707,339,1043.6122658252716
3,10,0.0028615561313927174,0.7379,0.849185798952759,507,1047.0819144248962
